secs,x
0.01266,-2.7243
0.01267,-3.0278
0.01268,-3.0391
0.01269,-1.4379
0.0127,2.0549
0.01271,-1.4567
0.01272,4.1896
0.01273,0.83746
0.01274,1.0944
0.01275,1.1631
0.01276,0.76697
0.01277,1.6154
0.01278,-0.28959
0.01279,-1.8666
0.0128,2.3595
0.01281,-3.3092
0.01282,-3.5627
0.01283,1.3957
0.01284,2.7246
0.01285,-0.88606
0.01286,0.022972
0.01287,-0.97725
0.01288,-3.2191
0.01289,-0.017655
0.0129,-7.848
0.01291,1.8485
0.01292,0.57368
0.01293,-3.442
0.01294,-2.6138
0.01295,-3.7743
0.01296,0.89162
0.01297,1.6264
0.01298,0.28013
0.01299,-0.0121
0.013,-6.7709
0.01301,-2.8288
0.01302,1.9109
0.01303,-0.84778
0.01304,-0.0020652
0.01305,0.18911
0.01306,-2.9838
0.01307,-4.8692
0.01308,3.0966
0.01309,-2.8958
0.0131,2.2967
0.01311,0.3482
0.01312,3.6843
0.01313,-1.3103
0.01314,1.6145
0.01315,-3.3228
0.01316,-0.94877
0.01317,-2.2289
0.01318,-2.2009
0.01319,-2.6847
0.0132,-1.3025
0.01321,4.445
0.01322,3.3394
0.01323,0.61099
0.01324,-1.0965
0.01325,-2.7993
0.01326,-4.4331
0.01327,1.2257
0.01328,-0.2247
0.01329,-3.257
0.0133,-1.8499
0.01331,0.67606
0.01332,2.3975
0.01333,2.916
0.01334,-7.5698
0.01335,2.0616
0.01336,3.6008
0.01337,-3.2202
0.01338,0.69938
0.01339,0.60466
0.0134,-0.26182
0.01341,2.9457
0.01342,-4.6637
